Semana,Culinária: (Brasil)
2019-06-16,87
2019-06-23,80
2019-06-30,73
2019-07-07,75
2019-07-14,65
2019-07-21,69
2019-07-28,76
2019-08-04,83
2019-08-11,89
2019-08-18,100
2019-08-25,94
2019-09-01,86
2019-09-08,81
2019-09-15,78
2019-09-22,81
2019-09-29,82
2019-10-06,83
2019-10-13,79
2019-10-20,89
2019-10-27,86
2019-11-03,87
2019-11-10,89
2019-11-17,89
2019-11-24,68
2019-12-01,69
2019-12-08,59
2019-12-15,52
2019-12-22,62
2019-12-29,55
2020-01-05,58
2020-01-12,54
2020-01-19,55
2020-01-26,55
2020-02-02,58
2020-02-09,43
2020-02-16,38
2020-02-23,43
2020-03-01,45
2020-03-08,50
2020-03-15,35
2020-03-22,44
2020-03-29,62
2020-04-05,74
2020-04-12,63
2020-04-19,70
2020-04-26,78
2020-05-03,83
2020-05-10,79
2020-05-17,87
2020-05-24,81
2020-05-31,81
